A5A616	mgtS	b4599	Small protein MgtS
P02921	melB	b4120	Melibiose permease (Melibiose carrier) (Melibiose transporter) (Melibiose/cation symporter) (Na+ (Li+)/melibiose symporter) (Thiomethylgalactoside permease II)
P02925	rbsB	b3751	Ribose import binding protein RbsB
P02929	tonB	b1252	Protein TonB
P02930	tolC	b3035	Outer membrane protein TolC (Multidrug efflux pump subunit TolC) (Outer membrane factor TolC)
P02931	ompF	b0929	Outer membrane porin F (Outer membrane protein 1A) (Outer membrane protein B) (Outer membrane protein F) (Outer membrane protein IA) (Porin OmpF)
P02942	tsr	b4355	Methyl-accepting chemotaxis protein I (MCP-I) (Serine chemoreceptor protein)
P02943	lamB	b4036	Maltoporin (Maltose outer membrane channel) (Maltose-inducible porin) (Phage lambda receptor protein)
P03004	dnaA	b3702	Chromosomal replication initiator protein DnaA
P03007	dnaQ	b0215	DNA polymerase III subunit epsilon (EC 2.7.7.7)
P03018	uvrD	b3813	DNA helicase II (EC 5.6.2.4) (DNA 3'-5' helicase II)
P03023	lacI	b0345	Lactose operon repressor
P03819	kefC	b0047	Glutathione-regulated potassium-efflux system protein KefC (K(+)/H(+) antiporter)
P03959	kdpA	b0698	Potassium-transporting ATPase potassium-binding subunit (ATP phosphohydrolase [potassium-transporting] A chain) (Potassium-binding and translocating subunit A) (Potassium-translocating ATPase A chain)
P03960	kdpB	b0697	Potassium-transporting ATPase ATP-binding subunit (EC 7.2.2.6) (ATP phosphohydrolase [potassium-transporting] B chain) (Potassium-binding and translocating subunit B) (Potassium-translocating ATPase B chain)
P03961	kdpC	b0696	Potassium-transporting ATPase KdpC subunit (ATP phosphohydrolase [potassium-transporting] C chain) (Potassium-binding and translocating subunit C) (Potassium-translocating ATPase C chain)
P04036	dapB	b0031	4-hydroxy-tetrahydrodipicolinate reductase (HTPA reductase) (EC 1.17.1.8)
P04079	guaA	b2507	GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2) (GMP synthetase) (GMPS) (Glutamine amidotransferase)
P04152	umuC	b1184	Protein UmuC (DNA polymerase V) (Pol V)
P04391	argI	b4254	Ornithine carbamoyltransferase subunit I (OTCase-1) (EC 2.1.3.3)
P04395	alkA	b2068	DNA-3-methyladenine glycosylase 2 (EC 3.2.2.21) (3-methyladenine-DNA glycosylase II, inducible) (TAG II) (DNA-3-methyladenine glycosidase II) (DNA-3-methyladenine glycosylase II)
P04425	gshB	b2947	Glutathione synthetase (EC 6.3.2.3) (GSH synthetase) (GSH-S) (GSHase) (Glutathione synthase)
P04693	tyrB	b4054	Aromatic-amino-acid aminotransferase (ARAT) (AROAT) (EC 2.6.1.57) (Beta-methylphenylalanine transaminase) (EC 2.6.1.107)
P04805	gltX	b2400	Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS)
P04825	pepN	b0932	Aminopeptidase N (EC 3.4.11.2) (Alpha-aminoacylpeptide hydrolase)
P04968	ilvA	b3772	L-threonine dehydratase biosynthetic IlvA (EC 4.3.1.19) (Threonine deaminase)
P04982	rbsD	b3748	D-ribose pyranase (EC 5.4.99.62)
P04983	rbsA	b3749	Ribose import ATP-binding protein RbsA (EC 7.5.2.7)
P04993	recD	b2819	RecBCD enzyme subunit RecD (EC 5.6.2.3) (DNA 5'-3' helicase subunit RecB) (Exodeoxyribonuclease V 67 kDa polypeptide) (Exodeoxyribonuclease V alpha chain) (Exonuclease V subunit RecD) (ExoV subunit RecD) (Helicase/nuclease RecBCD subunit RecD)
P04994	xseA	b2509	Exodeoxyribonuclease 7 large subunit (EC 3.1.11.6) (Exodeoxyribonuclease VII large subunit) (ExoVII large subunit) (Exonuclease VII large subunit)
P04995	sbcB	b2011	Exodeoxyribonuclease I (ExoI) (Exonuclease I) (EC 3.1.11.1) (DNA deoxyribophosphodiesterase) (dRPase)
P05020	pyrC	b1062	Dihydroorotase (DHOase) (EC 3.5.2.3)
P05041	pabB	b1812	Aminodeoxychorismate synthase component 1 (ADC synthase) (ADCS) (EC 2.6.1.85) (4-amino-4-deoxychorismate synthase component 1)
P05042	fumC	b1611	Fumarate hydratase class II (Fumarase C) (EC 4.2.1.2) (Aerobic fumarase) (Iron-independent fumarase)
P05050	alkB	b2212	Alpha-ketoglutarate-dependent dioxygenase AlkB (EC 1.14.11.33) (Alkylated DNA repair protein AlkB) (DNA oxidative demethylase AlkB)
P05055	pnp	b3164	Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8) (Polynucleotide phosphorylase) (PNPase)
P05194	aroD	b1693	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)
P05458	ptrA	b2821	Protease 3 (EC 3.4.24.55) (Pitrilysin) (Protease III) (Protease pi)
P05523	mutM	b3635	Formamidopyrimidine-DNA glycosylase (Fapy-DNA glycosylase) (EC 3.2.2.23) (DNA-(apurinic or apyrimidinic site) lyase MutM) (AP lyase MutM) (EC 4.2.99.18)
P05637	apaH	b0049	Bis(5'-nucleosyl)-tetraphosphatase [symmetrical] (EC 3.6.1.41) (Ap4A hydrolase) (Diadenosine 5',5'''-P1,P4-tetraphosphate pyrophosphohydrolase) (Diadenosine tetraphosphatase)
P05704	trg	b1421	Methyl-accepting chemotaxis protein III (MCP-III) (Ribose and galactose chemoreceptor protein)
P05791	ilvD	b3771	Dihydroxy-acid dehydratase (DAD) (EC 4.2.1.9)
P05793	ilvC	b3774	Ketol-acid reductoisomerase (NADP(+)) (KARI) (EC 1.1.1.86) (Acetohydroxy-acid isomeroreductase) (AHIR) (Alpha-keto-beta-hydroxylacyl reductoisomerase) (Ketol-acid reductoisomerase type 2) (Ketol-acid reductoisomerase type II)
P05804	uidA	b1617	Beta-glucuronidase (GUS) (EC 3.2.1.31) (Beta-D-glucuronoside glucuronosohydrolase) (EcGUS) (UID)
P05824	recN	b2616	DNA repair protein RecN (Recombination protein N)
P05825	fepA	b0584	Ferrienterobactin receptor (Enterobactin outer-membrane receptor)
P05852	tsaD	b3064	tRNA N6-adenosine threonylcarbamoyltransferase (EC 2.3.1.234) (N6-L-threonylcarbamoyladenine synthase) (t(6)A synthase) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaD) (tRNA threonylcarbamoyladenosine biosynthesis protein TsaD)
P06129	btuB	b3966	Vitamin B12 transporter BtuB (Cobalamin receptor) (Outer membrane cobalamin translocator)
P06134	ada	b2213	Bifunctional transcriptional activator/DNA repair enzyme Ada (Regulatory protein of adaptive response) [Includes: Methylphosphotriester-DNA--protein-cysteine S-methyltransferase (EC 2.1.1.n11) (Methylphosphotriester-DNA methyltransferase); Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63) (O6-methylguanine-DNA alkyltransferase)]
P06136	ftsQ	b0093	Cell division protein FtsQ
P06149	dld	b2133	Quinone-dependent D-lactate dehydrogenase (EC 1.1.5.12) ((R)-lactate:quinone 2-oxidoreductase) (D-lactate dehydrogenase) (D-LDH) (Respiratory D-lactate dehydrogenase)
P06609	btuC	b1711	Vitamin B12 import system permease protein BtuC
P06611	btuD	b1709	Vitamin B12 import ATP-binding protein BtuD (EC 7.6.2.8) (Vitamin B12-transporting ATPase)
P06612	topA	b1274	DNA topoisomerase 1 (EC 5.6.2.1) (DNA topoisomerase I) (Omega-protein) (Relaxing enzyme) (Swivelase) (Untwisting enzyme)
P06616	era	b2566	GTPase Era (ERA) (GTP-binding protein Era)
P06709	birA	b3973	Bifunctional ligase/repressor BirA (Biotin operon repressor) (Biotin--[acetyl-CoA-carboxylase] ligase) (EC 6.3.4.15) (Biotin--protein ligase) (Biotin-[acetyl-CoA carboxylase] synthetase)
P06710	dnaX	b0470	DNA polymerase III subunit tau (EC 2.7.7.7) (DNA polymerase III subunit gamma)
P06715	gor	b3500	Glutathione reductase (GR) (GRase) (EC 1.8.1.7)
P06721	metC	b3008	Cystathionine beta-lyase MetC (CBL) (CL) (EC 4.4.1.13) (Beta-cystathionase MetC) (Cysteine desulfhydrase MetC) (CD) (EC 4.4.1.28) (Cysteine lyase MetC) (Cysteine-S-conjugate beta-lyase MetC)
P06722	mutH	b2831	DNA mismatch repair protein MutH (Methyl-directed mismatch repair protein)
P06959	aceF	b0115	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12) (Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex) (E2)
P06960	argF	b0273	Ornithine carbamoyltransferase subunit F (OTCase-2) (EC 2.1.3.3)
P06961	cca	b3056	Multifunctional CCA protein [Includes: CCA-adding enzyme (EC 2.7.7.72) (CCA tRNA nucleotidyltransferase) (tRNA CCA-pyrophosphorylase) (tRNA adenylyl-/cytidylyl-transferase) (tRNA nucleotidyltransferase) (tRNA-NT); 2'-nucleotidase (EC 3.1.3.-); 2',3'-cyclic phosphodiesterase (EC 3.1.4.-); Phosphatase (EC 3.1.3.-)]
P06968	dut	b3640	Deoxyuridine 5'-triphosphate nucleotidohydrolase (dUTPase) (EC 3.6.1.23) (dUTP pyrophosphatase)
P06971	fhuA	b0150	Ferrichrome outer membrane transporter/phage receptor (Ferric hydroxamate receptor) (Ferric hydroxamate uptake) (Ferrichrome-iron receptor)
P06972	fhuB	b0153	Iron(3+)-hydroxamate import system permease protein FhuB (Ferric hydroxamate uptake protein B) (Ferrichrome transport system permease protein FhuB) (Ferrichrome uptake protein FhuB) (Iron(III)-hydroxamate import system permease protein FhuB)
P06974	fliM	b1945	Flagellar motor switch protein FliM
P06983	hemC	b3805	Porphobilinogen deaminase (PBG) (EC 2.5.1.61) (Hydroxymethylbilane synthase) (HMBS) (Pre-uroporphyrinogen synthase)
P06988	hisD	b2020	Histidinol dehydrogenase (HDH) (EC 1.1.1.23)
P06992	rsmA	b0051	Ribosomal RNA small subunit methyltransferase A (EC 2.1.1.182) (16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase) (16S rRNA dimethyladenosine transferase) (16S rRNA dimethylase) (High level kasugamycin resistance protein KsgA) (Kasugamycin dimethyltransferase) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase)
P06993	malT	b3418	HTH-type transcriptional regulator MalT (ATP-dependent transcriptional activator MalT)
P06996	ompC	b2215	Outer membrane porin C (Outer membrane protein 1B) (Outer membrane protein C) (Porin OmpC)
P06999	pfkB	b1723	ATP-dependent 6-phosphofructokinase isozyme 2 (ATP-PFK 2) (Phosphofructokinase 2) (EC 2.7.1.11) (6-phosphofructokinase isozyme II) (Phosphohexokinase 2)
P07001	pntA	b1603	NAD(P) transhydrogenase subunit alpha (EC 7.1.1.1) (Nicotinamide nucleotide transhydrogenase subunit alpha) (Pyridine nucleotide transhydrogenase subunit alpha)
P07003	poxB	b0871	Pyruvate dehydrogenase [ubiquinone] (EC 1.2.5.1) (Pyruvate oxidase) (POX) (Pyruvate:ubiquinone-8 oxidoreductase)
P07004	proA	b0243	Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase) (GSA dehydrogenase)
P07012	prfB	b2891	Peptide chain release factor RF2 (RF-2)
P07013	priB	b4201	Primosomal replication protein N
P07014	sdhB	b0724	Succinate dehydrogenase iron-sulfur subunit (EC 1.3.5.1)
P07017	tar	b1886	Methyl-accepting chemotaxis protein II (MCP-II) (Aspartate chemoreceptor protein)
P07024	ushA	b0480	Protein UshA [Includes: UDP-sugar hydrolase (EC 3.6.1.45) (UDP-sugar diphosphatase) (UDP-sugar pyrophosphatase); 5'-nucleotidase (5'-NT) (EC 3.1.3.5)]
P07102	appA	b0980	Phytase AppA (EC 3.1.3.-) (6-phytase) (Histidine acid phosphatase phytase) (HAP phytase) (Myo-inositol hexakisphosphate phosphohydrolase) (Phosphoanhydride phosphatase) (EC 3.6.1.-) (pH 2.5 acid phosphatase) (Acid phosphatase) (EC 3.1.3.-)
P07117	putP	b1015	Sodium/proline symporter (Proline carrier) (Proline permease) (Propionate transporter)
P07118	valS	b4258	Valine--tRNA ligase (EC 6.1.1.9) (Valyl-tRNA synthetase) (ValRS)
P07330	cheB	b1883	Protein-glutamate methylesterase/protein-glutamine glutaminase (EC 3.1.1.61) (EC 3.5.1.44) (Chemotaxis response regulator protein-glutamate methylesterase/glutamine deamidase) (Methyl-accepting chemotaxis proteins-specific methylesterase/deamidase) (MCP-specific methylesterase/deamidase)
P07363	cheA	b1888	Chemotaxis protein CheA (EC 2.7.13.3)
P07395	pheT	b1713	Phenylalanine--tRNA ligase beta subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase beta subunit) (PheRS)
P07464	lacA	b0342	Galactoside O-acetyltransferase (GAT) (EC 2.3.1.18) (Acetyl-CoA:galactoside 6-O-acetyltransferase) (Thiogalactoside acetyltransferase) (Thiogalactoside transacetylase)
P07604	tyrR	b1323	HTH-type transcriptional regulatory protein TyrR
P07623	metAS	b4013	Homoserine O-succinyltransferase (HST) (EC 2.3.1.46) (Homoserine transsuccinylase) (HTS)
P07639	aroB	b3389	3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)
P07648	recC	b2822	RecBCD enzyme subunit RecC (Exodeoxyribonuclease V 125 kDa polypeptide) (Exodeoxyribonuclease V gamma chain) (Exonuclease V subunit RecC) (ExoV subunit RecC) (Helicase/nuclease RecBCD subunit RecC)
P07649	truA	b2318	tRNA pseudouridine synthase A (EC 5.4.99.12) (tRNA pseudouridine(38-40) synthase) (tRNA pseudouridylate synthase I) (PSU-I) (tRNA-uridine isomerase I)
P07658	fdhF	b4079	Formate dehydrogenase H (EC 1.17.98.4) (Formate dehydrogenase-H subunit alpha) (FDH-H) (Formate-hydrogen-lyase-linked, selenocysteine-containing polypeptide)
P07821	fhuC	b0151	Iron(3+)-hydroxamate import ATP-binding protein FhuC (EC 7.2.2.16) (Ferric hydroxamate uptake protein C) (Ferrichrome transport ATP-binding protein FhuC) (Iron(III)-hydroxamate import ATP-binding protein FhuC)
P07822	fhuD	b0152	Iron(3+)-hydroxamate-binding protein FhuD (Ferric hydroxamate uptake protein D) (Ferrichrome-binding periplasmic protein) (Iron(III)-hydroxamate-binding protein FhuD)
P07862	ddlB	b0092	D-alanine--D-alanine ligase B (EC 6.3.2.4) (D-Ala-D-Ala ligase B) (D-alanylalanine synthetase B)
P07913	tdh	b3616	L-threonine 3-dehydrogenase (TDH) (EC 1.1.1.103) (L-threonine dehydrogenase)
P08142	ilvB	b3671	Acetolactate synthase isozyme 1 large subunit (AHAS-I) (EC 2.2.1.6) (Acetohydroxy-acid synthase I large subunit) (ALS-I)
P08179	purN	b2500	Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2) (5'-phosphoribosylglycinamide transformylase) (GAR transformylase) (GART)
P08191	fimH	b4320	Type 1 fimbrin D-mannose specific adhesin (Protein FimH)
P08192	folC	b2315	Dihydrofolate synthase/folylpolyglutamate synthase (DHFS / FPGS) (EC 6.3.2.12) (EC 6.3.2.17) (Folylpoly-gamma-glutamate synthetase-dihydrofolate synthetase) (Folylpolyglutamate synthetase) (Tetrahydrofolylpolyglutamate synthase)
P08200	icd	b1136	Isocitrate dehydrogenase [NADP] (IDH) (EC 1.1.1.42) (IDP) (NADP(+)-dependent isocitric dehydrogenase) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)
P08201	nirB	b3365	Nitrite reductase (NADH) large subunit (EC 1.7.1.15)
P08203	araD	b0061	L-ribulose-5-phosphate 4-epimerase AraD (EC 5.1.3.4) (Phosphoribulose isomerase)
P08244	pyrF	b1281	Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23) (OMP decarboxylase) (OMPDCase) (OMPdecase)
P08312	pheS	b1714	Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS)
P08337	mutT	b0099	8-oxo-dGTP diphosphatase (8-oxo-dGTPase) (EC 3.6.1.55) (7,8-dihydro-8-oxoguanine-triphosphatase) (Mutator protein MutT) (dGTP pyrophosphohydrolase)
P08373	murB	b3972	UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.3.1.98) (UDP-N-acetylmuramate dehydrogenase)
P08394	recB	b2820	RecBCD enzyme subunit RecB (EC 3.1.11.5) (EC 5.6.2.4) (DNA 3'-5' helicase subunit RecB) (Exodeoxyribonuclease V 135 kDa polypeptide) (Exodeoxyribonuclease V beta chain) (Exonuclease V subunit RecB) (ExoV subunit RecB) (Helicase/nuclease RecBCD subunit RecB)
P08395	sppA	b1766	Protease 4 (EC 3.4.21.-) (Endopeptidase IV) (Protease IV) (Signal peptide peptidase)
P08506	dacC	b0839	D-alanyl-D-alanine carboxypeptidase DacC (DD-carboxypeptidase) (DD-peptidase) (EC 3.4.16.4) (Penicillin-binding protein 6) (PBP-6)
P08622	dnaJ	b0015	Chaperone protein DnaJ (HSP40) (Heat shock protein J)
P08660	lysC	b4024	Lysine-sensitive aspartokinase 3 (EC 2.7.2.4) (Aspartate kinase III) (AKIII) (Lysine-sensitive aspartokinase III)
P08839	ptsI	b2416	Phosphoenolpyruvate-protein phosphotransferase (EC 2.7.3.9) (Phosphotransferase system, enzyme I)
P08956	hsdR	b4350	Type I restriction enzyme EcoKI endonuclease subunit (EcoKI) (R protein) (EC 3.1.21.3)
P09029	purK	b0522	N5-carboxyaminoimidazole ribonucleotide synthase (N5-CAIR synthase) (EC 6.3.4.18) (5-(carboxyamino)imidazole ribonucleotide synthetase)
P09030	xthA	b1749	Exodeoxyribonuclease III (EXO III) (Exonuclease III) (EC 3.1.11.2) (AP endonuclease VI)
P09099	xylB	b3564	Xylulose kinase (XK) (Xylulokinase) (EC 2.7.1.17) (1-deoxy-D-xylulokinase) (EC 2.7.1.-)
P09147	galE	b0759	UDP-glucose 4-epimerase (EC 5.1.3.2) (Galactowaldenase) (UDP-galactose 4-epimerase)
P09148	galT	b0758	Galactose-1-phosphate uridylyltransferase (Gal-1-P uridylyltransferase) (EC 2.7.7.12) (UDP-glucose--hexose-1-phosphate uridylyltransferase)
P09152	narG	b1224	Respiratory nitrate reductase 1 alpha chain (EC 1.7.5.1) (Nitrate reductase A subunit alpha) (Quinol-nitrate oxidoreductase subunit alpha)
P09158	speE	b0121	Polyamine aminopropyltransferase (Cadaverine aminopropyltransferase) (EC 2.5.1.-) (Putrescine aminopropyltransferase) (PAPT) (Spermidine aminopropyltransferase) (EC 2.5.1.79) (Spermidine synthase) (SPDS) (SPDSY) (EC 2.5.1.16) (Spermine synthase) (EC 2.5.1.22) (Thermospermine synthase)
P09169	ompT	b0565	Protease 7 (EC 3.4.23.49) (Omptin) (Outer membrane protein 3B) (Protease A) (Protease VII)
P09323	nagE	b0679	PTS system N-acetylglucosamine-specific EIICBA component (EIICBA-Nag) (EII-Nag) [Includes: N-acetylglucosamine permease IIC component (PTS system N-acetylglucosamine-specific EIIC component); N-acetylglucosamine-specific phosphotransferase enzyme IIB component (EC 2.7.1.193) (PTS system N-acetylglucosamine-specific EIIB component); N-acetylglucosamine-specific phosphotransferase enzyme IIA component (PTS system N-acetylglucosamine-specific EIIA component)]
P09348	motA	b1890	Motility protein A (Chemotaxis protein MotA)
P09372	grpE	b2614	Protein GrpE (HSP-70 cofactor) (HSP24) (Heat shock protein B25.3)
P09373	pflB	b0903	Formate acetyltransferase 1 (EC 2.3.1.54) (Pyruvate formate-lyase 1)
P09377	rhaS	b3905	HTH-type transcriptional activator RhaS (L-rhamnose operon regulatory protein RhaS)
P09391	glpG	b3424	Rhomboid protease GlpG (EC 3.4.21.105) (Intramembrane serine protease)
P09394	glpQ	b2239	Glycerophosphodiester phosphodiesterase, periplasmic (Glycerophosphoryl diester phosphodiesterase, periplasmic) (EC 3.1.4.46)
P09546	putA	b1014	Bifunctional protein PutA [Includes: Proline dehydrogenase (EC 1.5.5.2) (Proline oxidase); Delta-1-pyrroline-5-carboxylate dehydrogenase (P5C dehydrogenase) (EC 1.2.1.88) (L-glutamate gamma-semialdehyde dehydrogenase)]
P09831	gltB	b3212	Glutamate synthase [NADPH] large chain (EC 1.4.1.13) (Glutamate synthase subunit alpha) (GLTS alpha chain) (NADPH-GOGAT)
P09832	gltD	b3213	Glutamate synthase [NADPH] small chain (EC 1.4.1.13) (Glutamate synthase subunit beta) (GLTS beta chain) (NADPH-GOGAT)
P09835	uhpB	b3668	Signal transduction histidine-protein kinase/phosphatase UhpB (EC 2.7.13.3) (EC 3.1.3.-)
P09980	rep	b3778	ATP-dependent DNA helicase Rep (EC 5.6.2.4) (DNA 3'-5' helicase Rep)
P0A698	uvrA	b4058	UvrABC system protein A (UvrA protein) (Excinuclease ABC subunit A)
P0A6A0	ubiB	b3835	Probable protein kinase UbiB (EC 2.7.-.-) (Ubiquinone biosynthesis protein UbiB)
P0A6A3	ackA	b2296	Acetate kinase (EC 2.7.2.1) (Acetokinase)
P0A6A8	acpP	b1094	Acyl carrier protein (ACP) (Cytosolic-activating factor) (CAF) (Fatty acid synthase acyl carrier protein)
P0A6B4	alr	b4053	Alanine racemase, biosynthetic (EC 5.1.1.1)
P0A6B7	iscS	b2530	Cysteine desulfurase IscS (EC 2.8.1.7) (NifS protein homolog) (ThiI transpersulfidase) (TusA transpersulfidase)
P0A6C1	nfo	b2159	Endonuclease 4 (EC 3.1.21.2) (Endodeoxyribonuclease IV) (Endonuclease IV)
